name,url,img_url,price,tokens
프로게이너 아몬드프로틴 비건인증 식물성프로틴 비건식단 채식식단 단백질쉐이크 600g,https://www.coupang.com/vp/products/2004292828?itemId=3410326130&vendorItemId=71396923390&sourceType=srp_product_ads&clickEventId=c547171b-cd49-4cae-9552-a41eecbdd4eb&korePlacement=15&koreSubPlacement=1&clickEventId=c547171b-cd49-4cae-9552-a41eecbdd4eb&korePlacement=15&koreSubPlacement=1,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/64fb/8534803cf2eb3667b8e8eb4380535af79ba191c0185dc588d058a8f3f37d.jpg,39000,프로 게 이 너 아몬드 프로 틴 비건 인증 식물성 프로 틴 비건 식단 채식 식단 단백질 쉐이크
"고기대신 베지 치킨너겟 (냉동), 280g, 1개",https://www.coupang.com/vp/products/5649747679?itemId=9241339084&vendorItemId=76526956215,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/09/16/5/6ea6a3cb-3885-4603-abfe-3803a1ae447f.jpg,8980,고 기 대신 베지 치킨너겟 냉동 
"스윗밸런스 콩불고기 이탈리안 샐러드 랩 2p, 488g, 1개",https://www.coupang.com/vp/products/5732789189?itemId=9625985801&vendorItemId=76910311582,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/09/19/9/6412573f-6c04-4e84-835d-d8be8a9939d1.jpg,11800,스윗 밸런스 콩 불고기 이탈리안 샐러드 랩 
"베지가든 비건 속이꽉찬 한입완자 (냉동), 400g, 1개",https://www.coupang.com/vp/products/5071765054?itemId=6864450321&vendorItemId=74157043433,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/02/23/18/1/1f586ff1-6fc0-4bb0-b180-6218d3d13f2c.jpg,12680,베지가든 비건 속이 꽉찬한 완 자 냉동 
"프로게이너 비건프로틴 그레인코코아 비건인증완료 식물성 단백질보충제 채식식단 프로틴쉐이크, 750g, 1통",https://www.coupang.com/vp/products/1422335945?itemId=2461093366&vendorItemId=4835457017&sourceType=srp_product_ads&clickEventId=fd730868-1d05-4da0-87c2-7666c1ba954f&korePlacement=15&koreSubPlacement=5&clickEventId=fd730868-1d05-4da0-87c2-7666c1ba954f&korePlacement=15&koreSubPlacement=5,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/61a4/1ad4fdb31036bd9b2c00628990db87b11d78bcd487da8a21e5b2d81738b1.jpg,34800,프로 게 이 너 비건 프로 틴 그 레인 코코아 비건 인증 완료 식물성 단백질 보충 제 채식 식단 프로 틴 쉐이크 통
"닥터오트커 트래디지오날레 그릴드 베지터블 피자 (냉동), 395g, 2개",https://www.coupang.com/vp/products/6056794039?itemId=11121587235&vendorItemId=78400275048&sourceType=srp_product_ads&clickEventId=2bc0ada8-2169-444e-bdb7-8a8da875e61c&korePlacement=15&koreSubPlacement=6&clickEventId=2bc0ada8-2169-444e-bdb7-8a8da875e61c&korePlacement=15&koreSubPlacement=6,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/08/24/12/0/5b74ee24-2853-492f-8365-4ff4001db6bd.jpg,13980,닥터 오 트 커트 래 디지오 날 레그릴드 베지터블 피자 냉동 
"스윗밸런스 비건 트러플 후무스 펜네 샐러드, 250g, 2개",https://www.coupang.com/vp/products/6055171337?itemId=11112390465&vendorItemId=78391482150,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4231475182984869-7229a075-536d-4fbd-851b-3a434bf36296.jpg,11800,스윗 밸런스 비건 트러플 후무스 펜네 샐러드 
"고기대신 비건 제육볶음 (냉동), 500g, 1팩",https://www.coupang.com/vp/products/5848900776?itemId=10172502833&vendorItemId=77455077770,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/17/14/5/f74c7cf2-2242-4b78-b346-ef2a158ff31a.jpg,11230,고 기 대신 비건 제육 볶음 냉동 팩
"고기대신 베지 치킨너겟 (냉동), 280g, 1개",https://www.coupang.com/vp/products/5649747679?itemId=9241339084&vendorItemId=76526956215&sourceType=srp_product_ads&clickEventId=348dfde4-fd8b-460f-8bcf-38a20cc86bf2&korePlacement=15&koreSubPlacement=9&clickEventId=348dfde4-fd8b-460f-8bcf-38a20cc86bf2&korePlacement=15&koreSubPlacement=9,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,8980,고 기 대신 베지 치킨너겟 냉동 
"고기대신 비건 양념갈비살 (냉동), 300g, 1개",https://www.coupang.com/vp/products/5672927971?itemId=9346683836&vendorItemId=76631930994,https://img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,6980,고 기 대신 비건 양념 갈비살 냉동 
